razao_social,latitude,longitude,data_inicio_atividade
ESM INVESTIMENTO E PARTICIPACOES L TDA,-22.999792,-43.347458,2018-04-02
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.971066,-43.187087,2019-01-30
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.341923,-41.754683,2019-03-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.734134,-42.832515,2019-05-30
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-7.23761,-35.883857,2019-07-04
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.480542,-46.540262,2019-12-12
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.480542,-46.540262,2020-02-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-8.342515,-36.416079,2020-08-14
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.428892,-43.76192,2020-09-15
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.036966,-42.166167,2020-11-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.597655,-46.484235,2020-12-04
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-21.376761,-42.683663,2021-02-10
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-8.117722,-34.941979,2021-02-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.479062,-46.661909,2021-03-18
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.81355,-43.41993,2021-06-23
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-29.242544,-51.549544,2021-10-04
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.219877,-44.752126,2021-10-19
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.0203,-43.466095,2021-11-17
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.506032,-47.482168,2022-03-22
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.036966,-42.166167,2022-04-27
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.036966,-42.166167,2022-04-27
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.83124,-42.03505,2022-05-01
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-23.013809,-45.560556,2022-05-25
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-9.576883,-35.770448,2022-07-08
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.920819,-43.093788,2022-08-04
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-7.84674,-35.240499,2022-10-04
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.592918,-43.186803,2022-11-10
EDITORA CENTRAL GOSPEL LTDA,-8.14541,-34.919264,2022-11-28
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-7.452609,-35.239088,2023-01-02
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.928387,-42.960664,2023-08-09
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-7.246527,-35.916203,2023-10-02
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-9.735748,-36.674539,2024-01-03
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.831359,-43.010788,2024-04-24
ASSEMBLEIA DE DEUS VITORIA EM CRISTO,-22.859572,-42.343261,2024-05-13
