"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"2302206";"Beberibe (CE)";"Total";"31120";"11224";"188";"78";"-";"746";"2715";"-";"91"
"MU";"2302305";"Bela Cruz (CE)";"Total";"25121";"2634";"-";"21";"-";"54";"530";"-";"-"
"MU";"2302404";"Boa Viagem (CE)";"Total";"35970";"6655";"48";"12";"-";"263";"684";"-";"-"
"MU";"2302503";"Brejo Santo (CE)";"Total";"39261";"3994";"63";"73";"-";"271";"751";"-";"-"
"MU";"2302602";"Camocim (CE)";"Total";"37543";"9784";"89";"177";"-";"2316";"3483";"-";"35"
"MU";"2302701";"Campos Sales (CE)";"Total";"18609";"2540";"23";"29";"-";"175";"494";"7";"-"
"MU";"2302800";"Canindé (CE)";"Total";"53266";"8027";"297";"154";"-";"520";"1231";"-";"11"
"MU";"2302909";"Capistrano (CE)";"Total";"11678";"2619";"17";"-";"-";"112";"328";"-";"-"
"MU";"2303006";"Caridade (CE)";"Total";"11862";"1550";"28";"-";"-";"103";"306";"-";"-"
"MU";"2303105";"Cariré (CE)";"Total";"12650";"2116";"-";"-";"-";"66";"419";"-";"-"
"MU";"2303204";"Caririaçu (CE)";"Total";"20268";"1396";"20";"50";"-";"116";"601";"-";"-"
"MU";"2303303";"Cariús (CE)";"Total";"11215";"2342";"15";"-";"-";"771";"591";"-";"-"
"MU";"2303402";"Carnaubal (CE)";"Total";"12476";"1262";"10";"29";"153";"150";"541";"12";"10"
"MU";"2303501";"Cascavel (CE)";"Total";"43715";"14676";"117";"221";"-";"1319";"2908";"-";"8"
"MU";"2303600";"Catarina (CE)";"Total";"7315";"1295";"13";"-";"-";"104";"184";"-";"7"
"MU";"2303659";"Catunda (CE)";"Total";"7804";"855";"3";"19";"-";"105";"301";"-";"-"
"MU";"2303709";"Caucaia (CE)";"Total";"165406";"98982";"1182";"1913";"146";"10592";"25263";"151";"123"
"MU";"2303808";"Cedro (CE)";"Total";"16025";"3031";"17";"21";"-";"130";"518";"-";"20"
"MU";"2303907";"Chaval (CE)";"Total";"8549";"1563";"-";"34";"-";"107";"350";"-";"8"
"MU";"2303931";"Choró (CE)";"Total";"8352";"1753";"13";"45";"-";"40";"103";"-";"-"
"MU";"2303956";"Chorozinho (CE)";"Total";"11093";"4694";"-";"21";"-";"624";"936";"-";"-"
"MU";"2304004";"Coreaú (CE)";"Total";"16003";"1447";"-";"31";"-";"120";"230";"-";"-"
"MU";"2304103";"Crateús (CE)";"Total";"48827";"9940";"112";"259";"-";"3492";"3730";"23";"180"
"MU";"2304202";"Crato (CE)";"Total";"91812";"12591";"1695";"448";"-";"1720";"4661";"-";"22"
"MU";"2304236";"Croatá (CE)";"Total";"13387";"1311";"6";"-";"-";"135";"231";"-";"3"
"MU";"2304251";"Cruz (CE)";"Total";"20187";"4060";"46";"23";"-";"239";"693";"-";"-"
"MU";"2304269";"Deputado Irapuan Pinheiro (CE)";"Total";"6988";"828";"-";"5";"-";"14";"108";"-";"-"
"MU";"2304277";"Ereré (CE)";"Total";"4966";"502";"-";"8";"-";"60";"68";"-";"-"
"MU";"2304285";"Eusébio (CE)";"Total";"37769";"16775";"1081";"222";"10";"2666";"4735";"-";"16"
"MU";"2304301";"Farias Brito (CE)";"Total";"13578";"1745";"14";"-";"-";"220";"333";"-";"12"
"MU";"2304350";"Forquilha (CE)";"Total";"14711";"4664";"-";"17";"-";"325";"1091";"-";"23"
"MU";"2304400";"Fortaleza (CE)";"Total";"1280526";"561214";"25892";"12957";"282";"84593";"162921";"2116";"2611"
"MU";"2304459";"Fortim (CE)";"Total";"9323";"4457";"79";"27";"-";"386";"818";"-";"5"
"MU";"2304509";"Frecheirinha (CE)";"Total";"10737";"1887";"4";"5";"-";"85";"479";"-";"-"
"MU";"2304608";"General Sampaio (CE)";"Total";"4931";"671";"7";"10";"-";"59";"78";"-";"-"
"MU";"2304657";"Graça (CE)";"Total";"9790";"1188";"4";"28";"-";"137";"765";"-";"-"
"MU";"2304707";"Granja (CE)";"Total";"36113";"4042";"39";"4";"-";"3580";"1725";"28";"23"
"MU";"2304806";"Granjeiro (CE)";"Total";"3961";"170";"-";"-";"-";"12";"46";"-";"-"
"MU";"2304905";"Groaíras (CE)";"Total";"6726";"1566";"4";"59";"-";"313";"868";"-";"6"
"MU";"2304954";"Guaiúba (CE)";"Total";"15245";"4486";"43";"13";"10";"236";"736";"-";"11"
"MU";"2305001";"Guaraciaba do Norte (CE)";"Total";"30092";"4260";"9";"38";"-";"366";"937";"-";"-"
"MU";"2305100";"Guaramiranga (CE)";"Total";"3949";"591";"32";"9";"3";"95";"285";"-";"-"
"MU";"2305209";"Hidrolândia (CE)";"Total";"11890";"2529";"8";"25";"-";"150";"868";"-";"-"
"MU";"2305233";"Horizonte (CE)";"Total";"36344";"17353";"58";"250";"12";"1061";"8176";"-";"206"
"MU";"2305266";"Ibaretama (CE)";"Total";"8276";"1674";"11";"6";"-";"49";"212";"-";"-"
"MU";"2305308";"Ibiapina (CE)";"Total";"17372";"2375";"11";"131";"-";"162";"285";"-";"12"
"MU";"2305332";"Ibicuitinga (CE)";"Total";"7799";"1917";"7";"-";"-";"71";"328";"-";"5"
"MU";"2305357";"Icapuí (CE)";"Total";"10236";"5562";"62";"-";"-";"882";"1851";"-";"23"
"MU";"2305407";"Icó (CE)";"Total";"44337";"7686";"49";"163";"-";"659";"1470";"-";"21"
"MU";"2305506";"Iguatu (CE)";"Total";"64463";"13739";"299";"129";"-";"1780";"4921";"-";"144"
"MU";"2305605";"Independência (CE)";"Total";"18523";"1904";"11";"37";"-";"88";"649";"-";"9"
"MU";"2305654";"Ipaporanga (CE)";"Total";"8423";"1366";"-";"6";"-";"90";"187";"-";"20"
"MU";"2305704";"Ipaumirim (CE)";"Total";"8662";"1227";"-";"9";"-";"94";"333";"-";"-"
"MU";"2305803";"Ipu (CE)";"Total";"30964";"3008";"85";"70";"-";"488";"621";"-";"-"
"MU";"2305902";"Ipueiras (CE)";"Total";"26475";"3630";"10";"96";"-";"414";"1185";"11";"31"
"MU";"2306009";"Iracema (CE)";"Total";"10261";"1084";"71";"21";"-";"154";"580";"-";"5"
"MU";"2306108";"Irauçuba (CE)";"Total";"15375";"3936";"-";"-";"-";"95";"827";"-";"13"
"MU";"2306207";"Itaiçaba (CE)";"Total";"5149";"1224";"1";"3";"-";"31";"191";"-";"3"
"MU";"2306256";"Itaitinga (CE)";"Total";"31467";"17433";"172";"342";"23";"1661";"5163";"-";"88"
"MU";"2306306";"Itapajé (CE)";"Total";"27007";"10398";"-";"20";"-";"673";"1724";"-";"43"
"MU";"2306405";"Itapipoca (CE)";"Total";"80101";"26031";"182";"137";"353";"1169";"2944";"-";"229"
"MU";"2306504";"Itapiúna (CE)";"Total";"11635";"2839";"34";"43";"-";"82";"718";"-";"13"
"MU";"2306553";"Itarema (CE)";"Total";"25680";"8036";"15";"42";"729";"464";"1311";"60";"5"
"MU";"2306603";"Itatira (CE)";"Total";"14445";"2630";"-";"20";"-";"169";"269";"-";"-"
"MU";"2306702";"Jaguaretama (CE)";"Total";"13059";"1334";"237";"24";"-";"94";"200";"-";"9"
"MU";"2306801";"Jaguaribara (CE)";"Total";"7501";"1124";"22";"-";"-";"63";"249";"-";"6"
"MU";"2306900";"Jaguaribe (CE)";"Total";"22934";"4249";"168";"61";"-";"158";"1852";"-";"50"
"MU";"2307007";"Jaguaruana (CE)";"Total";"23373";"3350";"39";"145";"-";"271";"570";"-";"10"
"MU";"2307106";"Jardim (CE)";"Total";"21272";"1627";"117";"-";"-";"146";"255";"-";"-"
"MU";"2307205";"Jati (CE)";"Total";"5151";"1262";"26";"-";"-";"27";"240";"-";"5"
"MU";"2307254";"Jijoca de Jericoacoara (CE)";"Total";"15022";"4268";"46";"46";"10";"333";"1793";"-";"-"
"MU";"2307304";"Juazeiro do Norte (CE)";"Total";"199311";"28307";"2103";"1540";"9";"4730";"9579";"30";"36"
"MU";"2307403";"Jucás (CE)";"Total";"16338";"3750";"-";"52";"-";"53";"474";"-";"-"
"MU";"2307502";"Lavras da Mangabeira (CE)";"Total";"23021";"3038";"46";"7";"-";"230";"626";"-";"-"
"MU";"2307601";"Limoeiro do Norte (CE)";"Total";"37514";"10040";"241";"203";"-";"1577";"2479";"56";"71"
"MU";"2307635";"Madalena (CE)";"Total";"11850";"2351";"-";"10";"-";"30";"277";"-";"6"
"MU";"2307650";"Maracanaú (CE)";"Total";"108052";"65871";"1029";"1011";"21";"9199";"15362";"25";"165"
"MU";"2307700";"Maranguape (CE)";"Total";"58149";"23772";"486";"153";"11";"3308";"4646";"254";"-"
"MU";"2307809";"Marco (CE)";"Total";"20357";"1504";"-";"-";"10";"33";"97";"-";"-"
"MU";"2307908";"Martinópole (CE)";"Total";"7774";"1008";"20";"12";"-";"65";"396";"-";"-"
"MU";"2308005";"Massapê (CE)";"Total";"26016";"4762";"66";"93";"-";"380";"785";"-";"-"
"MU";"2308104";"Mauriti (CE)";"Total";"34060";"3902";"182";"32";"-";"314";"532";"-";"-"
"MU";"2308203";"Meruoca (CE)";"Total";"11337";"1291";"-";"13";"-";"79";"270";"-";"-"
"MU";"2308302";"Milagres (CE)";"Total";"19616";"2429";"27";"13";"-";"282";"311";"-";"-"
"MU";"2308351";"Milhã (CE)";"Total";"11071";"1206";"-";"12";"-";"35";"103";"-";"-"
"MU";"2308377";"Miraíma (CE)";"Total";"9980";"1824";"-";"16";"-";"88";"138";"-";"14"
"MU";"2308401";"Missão Velha (CE)";"Total";"26844";"3482";"41";"90";"-";"74";"686";"-";"40"
"MU";"2308500";"Mombaça (CE)";"Total";"26732";"4926";"-";"66";"-";"247";"943";"23";"10"
"MU";"2308609";"Monsenhor Tabosa (CE)";"Total";"12070";"2306";"29";"15";"27";"164";"238";"-";"-"
"MU";"2308708";"Morada Nova (CE)";"Total";"39559";"10404";"64";"97";"-";"845";"3163";"-";"26"
"MU";"2308807";"Moraújo (CE)";"Total";"6044";"691";"5";"5";"-";"105";"176";"6";"31"
"MU";"2308906";"Morrinhos (CE)";"Total";"15628";"3169";"-";"35";"-";"50";"259";"-";"10"
"MU";"2309003";"Mucambo (CE)";"Total";"9548";"1614";"10";"10";"-";"27";"681";"-";"5"
"MU";"2309102";"Mulungu (CE)";"Total";"6851";"1607";"85";"6";"-";"243";"236";"-";"-"
"MU";"2309201";"Nova Olinda (CE)";"Total";"10459";"1950";"15";"5";"-";"97";"409";"-";"-"
"MU";"2309300";"Nova Russas (CE)";"Total";"20235";"4196";"190";"212";"-";"491";"1434";"-";"-"
"MU";"2309409";"Novo Oriente (CE)";"Total";"18743";"4296";"-";"17";"-";"132";"800";"-";"18"
"MU";"2309458";"Ocara (CE)";"Total";"16359";"4084";"-";"33";"-";"247";"693";"-";"-"
"MU";"2309508";"Orós (CE)";"Total";"13370";"3146";"-";"-";"-";"92";"657";"-";"12"
"MU";"2309607";"Pacajus (CE)";"Total";"38639";"17209";"109";"173";"-";"2168";"2660";"-";"85"
"MU";"2309706";"Pacatuba (CE)";"Total";"35872";"23421";"248";"204";"52";"2308";"6624";"-";"91"
"MU";"2309805";"Pacoti (CE)";"Total";"8280";"1085";"17";"5";"-";"110";"111";"-";"-"
"MU";"2309904";"Pacujá (CE)";"Total";"4569";"570";"11";"-";"-";"59";"169";"-";"-"
"MU";"2310001";"Palhano (CE)";"Total";"6655";"1373";"4";"10";"-";"85";"76";"-";"21"
"MU";"2310100";"Palmácia (CE)";"Total";"6939";"1609";"12";"44";"3";"48";"248";"-";"-"
"MU";"2310209";"Paracuru (CE)";"Total";"21057";"9060";"90";"192";"-";"863";"2150";"-";"27"
"MU";"2310258";"Paraipaba (CE)";"Total";"16464";"8912";"44";"28";"-";"713";"1301";"-";"8"
"MU";"2310308";"Parambu (CE)";"Total";"19230";"6457";"9";"35";"-";"628";"871";"-";"25"
"MU";"2310407";"Paramoti (CE)";"Total";"8087";"849";"-";"-";"-";"85";"29";"-";"-"
"MU";"2310506";"Pedra Branca (CE)";"Total";"30482";"3728";"31";"67";"-";"404";"523";"-";"8"
"MU";"2310605";"Penaforte (CE)";"Total";"5802";"1526";"-";"-";"-";"81";"155";"-";"5"
"MU";"2310704";"Pentecoste (CE)";"Total";"24642";"6534";"45";"81";"11";"564";"667";"-";"35"
"MU";"2310803";"Pereiro (CE)";"Total";"11773";"749";"159";"-";"-";"247";"337";"-";"-"
"MU";"2310852";"Pindoretama (CE)";"Total";"14405";"4656";"115";"72";"-";"322";"489";"-";"8"
"MU";"2310902";"Piquet Carneiro (CE)";"Total";"12336";"1673";"34";"15";"-";"76";"617";"-";"8"
"MU";"2310951";"Pires Ferreira (CE)";"Total";"8183";"751";"-";"-";"-";"88";"247";"-";"32"
"MU";"2311009";"Poranga (CE)";"Total";"8523";"1321";"3";"52";"66";"105";"272";"-";"27"
"MU";"2311108";"Porteiras (CE)";"Total";"12203";"1902";"18";"27";"-";"138";"271";"-";"18"
"MU";"2311207";"Potengi (CE)";"Total";"6534";"711";"45";"8";"9";"87";"230";"-";"-"
"MU";"2311231";"Potiretama (CE)";"Total";"4445";"547";"-";"-";"-";"76";"103";"-";"31"
"MU";"2311264";"Quiterianópolis (CE)";"Total";"14494";"2636";"-";"19";"15";"162";"284";"-";"-"
"MU";"2311306";"Quixadá (CE)";"Total";"51368";"15678";"386";"272";"-";"714";"3258";"-";"63"
"MU";"2311355";"Quixelô (CE)";"Total";"11686";"1641";"-";"-";"-";"95";"636";"4";"13"
"MU";"2311405";"Quixeramobim (CE)";"Total";"53890";"12194";"235";"256";"-";"861";"3236";"-";"34"
"MU";"2311504";"Quixeré (CE)";"Total";"14304";"2537";"71";"44";"-";"116";"1071";"-";"24"
"MU";"2311603";"Redenção (CE)";"Total";"16194";"5651";"34";"33";"-";"368";"1126";"-";"6"
"MU";"2311702";"Reriutaba (CE)";"Total";"13948";"1436";"22";"-";"-";"211";"418";"-";"13"
"MU";"2311801";"Russas (CE)";"Total";"47990";"12021";"208";"125";"-";"959";"2298";"-";"9"
"MU";"2311900";"Saboeiro (CE)";"Total";"8810";"2163";"16";"-";"-";"165";"824";"-";"14"
"MU";"2311959";"Salitre (CE)";"Total";"11229";"2151";"6";"8";"-";"174";"382";"-";"-"
"MU";"2312007";"Santana do Acaraú (CE)";"Total";"22955";"2927";"10";"39";"-";"99";"315";"-";"-"
"MU";"2312106";"Santana do Cariri (CE)";"Total";"12757";"1284";"18";"16";"-";"67";"274";"-";"25"
"MU";"2312205";"Santa Quitéria (CE)";"Total";"29928";"3466";"182";"49";"-";"387";"955";"-";"-"
"MU";"2312304";"São Benedito (CE)";"Total";"34831";"3864";"9";"80";"-";"460";"985";"-";"32"
"MU";"2312403";"São Gonçalo do Amarante (CE)";"Total";"27892";"12399";"89";"166";"-";"2025";"3420";"-";"-"
"MU";"2312502";"São João do Jaguaribe (CE)";"Total";"4100";"927";"20";"-";"-";"92";"166";"-";"-"
"MU";"2312601";"São Luís do Curu (CE)";"Total";"6307";"2520";"5";"14";"-";"74";"380";"15";"8"
"MU";"2312700";"Senador Pompeu (CE)";"Total";"17951";"2456";"10";"63";"-";"199";"512";"-";"10"
"MU";"2312809";"Senador Sá (CE)";"Total";"5314";"670";"-";"13";"2";"51";"136";"-";"-"
"MU";"2312908";"Sobral (CE)";"Total";"130749";"28628";"1022";"860";"9";"4739";"8741";"18";"78"
"MU";"2313005";"Solonópole (CE)";"Total";"14274";"1433";"5";"29";"7";"132";"203";"-";"11"
"MU";"2313104";"Tabuleiro do Norte (CE)";"Total";"19442";"5247";"54";"-";"-";"573";"1681";"-";"9"
"MU";"2313203";"Tamboril (CE)";"Total";"17972";"2508";"23";"89";"-";"217";"792";"46";"21"
"MU";"2313252";"Tarrafas (CE)";"Total";"5228";"1074";"-";"-";"-";"68";"183";"-";"67"
"MU";"2313302";"Tauá (CE)";"Total";"36799";"12243";"272";"109";"-";"1465";"2241";"-";"139"
"MU";"2313351";"Tejuçuoca (CE)";"Total";"11980";"2276";"5";"12";"-";"122";"103";"4";"10"
"MU";"2313401";"Tianguá (CE)";"Total";"53842";"11012";"213";"115";"-";"1685";"1624";"-";"71"
"MU";"2313500";"Trairi (CE)";"Total";"33381";"13100";"22";"20";"-";"504";"2042";"-";"99"
"MU";"2313559";"Tururu (CE)";"Total";"8568";"3775";"8";"12";"-";"508";"197";"-";"11"
"MU";"2313609";"Ubajara (CE)";"Total";"21927";"4641";"64";"17";"-";"427";"630";"-";"24"
"MU";"2313708";"Umari (CE)";"Total";"4905";"910";"9";"20";"-";"35";"182";"-";"4"
"MU";"2313757";"Umirim (CE)";"Total";"10015";"3811";"3";"3";"-";"180";"681";"-";"-"
"MU";"2313807";"Uruburetama (CE)";"Total";"12027";"4028";"8";"19";"-";"231";"675";"-";"-"
"MU";"2313906";"Uruoca (CE)";"Total";"9033";"2061";"22";"25";"-";"76";"539";"-";"12"
"MU";"2313955";"Varjota (CE)";"Total";"11824";"2387";"-";"13";"-";"342";"793";"50";"4"
"MU";"2314003";"Várzea Alegre (CE)";"Total";"29578";"3529";"74";"11";"-";"245";"750";"-";"39"
"MU";"2314102";"Viçosa do Ceará (CE)";"Total";"41540";"6833";"140";"-";"-";"512";"1342";"7";"24"
"MU";"2400109";"Acari (RN)";"Total";"8291";"838";"10";"10";"-";"48";"260";"-";"2"
"MU";"2400208";"Açu (RN)";"Total";"34913";"9974";"189";"103";"-";"976";"3182";"-";"-"
"MU";"2400307";"Afonso Bezerra (RN)";"Total";"7119";"1764";"-";"18";"-";"137";"364";"-";"-"
"MU";"2400406";"Água Nova (RN)";"Total";"2083";"260";"25";"11";"-";"75";"124";"-";"-"
"MU";"2400505";"Alexandria (RN)";"Total";"10061";"1552";"5";"-";"-";"109";"321";"-";"-"
"MU";"2400604";"Almino Afonso (RN)";"Total";"3371";"509";"5";"3";"-";"45";"274";"-";"-"
"MU";"2400703";"Alto do Rodrigues (RN)";"Total";"7872";"2263";"17";"5";"-";"101";"525";"-";"13"
"MU";"2400802";"Angicos (RN)";"Total";"7461";"1641";"8";"41";"-";"190";"865";"5";"-"
"MU";"2400901";"Antônio Martins (RN)";"Total";"4624";"922";"5";"-";"-";"37";"269";"-";"-"
"MU";"2401008";"Apodi (RN)";"Total";"23535";"6069";"27";"21";"-";"544";"1670";"7";"129"
"MU";"2401107";"Areia Branca (RN)";"Total";"14093";"4859";"79";"112";"-";"389";"1418";"-";"45"
"MU";"2401206";"Arês (RN)";"Total";"7496";"2566";"14";"39";"-";"285";"918";"18";"-"
"MU";"2401305";"Campo Grande (RN)";"Total";"7607";"768";"5";"44";"-";"108";"102";"-";"-"
"MU";"2401404";"Baía Formosa (RN)";"Total";"3538";"2612";"33";"23";"71";"793";"542";"-";"5"
"MU";"2401453";"Baraúna (RN)";"Total";"14041";"5701";"3";"5";"-";"582";"2788";"-";"23"
"MU";"2401503";"Barcelona (RN)";"Total";"2922";"418";"21";"3";"-";"30";"115";"-";"-"
"MU";"2401602";"Bento Fernandes (RN)";"Total";"3049";"727";"-";"3";"-";"32";"355";"-";"-"
"MU";"2401651";"Bodó (RN)";"Total";"1758";"216";"-";"3";"-";"-";"76";"-";"-"
"MU";"2401701";"Bom Jesus (RN)";"Total";"6748";"1409";"52";"12";"-";"59";"375";"-";"-"
"MU";"2401800";"Brejinho (RN)";"Total";"7430";"2025";"15";"38";"-";"199";"766";"-";"5"
"MU";"2401859";"Caiçara do Norte (RN)";"Total";"4014";"1109";"-";"4";"-";"41";"162";"3";"2"
"MU";"2401909";"Caiçara do Rio do Vento (RN)";"Total";"2206";"357";"9";"-";"-";"16";"197";"-";"-"
"MU";"2402006";"Caicó (RN)";"Total";"44855";"4887";"423";"92";"9";"1183";"2881";"51";"12"
"MU";"2402105";"Campo Redondo (RN)";"Total";"6785";"1388";"-";"-";"-";"185";"546";"4";"-"
"MU";"2402204";"Canguaretama (RN)";"Total";"15722";"6276";"63";"156";"-";"319";"2435";"-";"10"
"MU";"2402303";"Caraúbas (RN)";"Total";"12513";"3093";"12";"-";"-";"280";"1662";"-";"-"
"MU";"2402402";"Carnaúba dos Dantas (RN)";"Total";"5771";"782";"-";"20";"-";"62";"319";"-";"19"
"MU";"2402501";"Carnaubais (RN)";"Total";"6200";"1523";"7";"3";"-";"165";"587";"-";"-"
"MU";"2402600";"Ceará-Mirim (RN)";"Total";"48249";"14405";"386";"265";"4";"878";"3404";"11";"94"
"MU";"2402709";"Cerro Corá (RN)";"Total";"8365";"846";"78";"-";"-";"123";"265";"-";"-"
"MU";"2402808";"Coronel Ezequiel (RN)";"Total";"3175";"872";"-";"12";"-";"43";"359";"-";"3"
"MU";"2402907";"Coronel João Pessoa (RN)";"Total";"3069";"553";"8";"3";"-";"11";"78";"-";"-"
"MU";"2403004";"Cruzeta (RN)";"Total";"6184";"526";"7";"-";"-";"109";"297";"-";"-"
"MU";"2403103";"Currais Novos (RN)";"Total";"28059";"5734";"84";"154";"-";"727";"1760";"-";"-"
"MU";"2403202";"Doutor Severiano (RN)";"Total";"5275";"754";"6";"-";"-";"26";"128";"2";"-"
"MU";"2403251";"Parnamirim (RN)";"Total";"118917";"63467";"5002";"968";"32";"12647";"18973";"47";"229"
"MU";"2403301";"Encanto (RN)";"Total";"4370";"601";"11";"-";"-";"6";"196";"-";"-"
"MU";"2403400";"Equador (RN)";"Total";"3471";"873";"3";"4";"-";"91";"270";"-";"-"
"MU";"2403509";"Espírito Santo (RN)";"Total";"6467";"1978";"4";"4";"-";"185";"468";"-";"49"
"MU";"2403608";"Extremoz (RN)";"Total";"29093";"14991";"742";"338";"16";"2138";"4648";"-";"40"
"MU";"2403707";"Felipe Guerra (RN)";"Total";"2456";"1133";"7";"-";"-";"535";"1239";"-";"-"
"MU";"2403756";"Fernando Pedroza (RN)";"Total";"1903";"515";"-";"2";"-";"22";"116";"-";"-"
"MU";"2403806";"Florânia (RN)";"Total";"7893";"888";"5";"11";"-";"62";"153";"-";"-"
"MU";"2403905";"Francisco Dantas (RN)";"Total";"2064";"267";"11";"-";"-";"-";"50";"-";"-"
"MU";"2404002";"Frutuoso Gomes (RN)";"Total";"2804";"703";"-";"-";"-";"8";"142";"-";"-"
"MU";"2404101";"Galinhos (RN)";"Total";"1151";"510";"5";"-";"-";"72";"32";"-";"-"
"MU";"2404200";"Goianinha (RN)";"Total";"12306";"6827";"-";"22";"-";"1155";"2177";"8";"10"
"MU";"2404309";"Governador Dix-Sept Rosado (RN)";"Total";"7486";"1982";"12";"10";"-";"273";"682";"16";"32"
"MU";"2404408";"Grossos (RN)";"Total";"4525";"2426";"4";"7";"-";"309";"1402";"-";"17"
"MU";"2404507";"Guamaré (RN)";"Total";"7724";"3608";"19";"24";"23";"171";"1397";"-";"45"
"MU";"2404606";"Ielmo Marinho (RN)";"Total";"7128";"2241";"-";"4";"-";"56";"458";"12";"73"
"MU";"2404705";"Ipanguaçu (RN)";"Total";"9152";"2074";"6";"27";"-";"297";"641";"-";"-"
"MU";"2404804";"Ipueira (RN)";"Total";"1627";"104";"2";"2";"-";"5";"63";"-";"-"
"MU";"2404853";"Itajá (RN)";"Total";"4782";"978";"37";"6";"-";"144";"405";"-";"-"
"MU";"2404903";"Itaú (RN)";"Total";"3507";"855";"3";"-";"-";"108";"211";"-";"3"
"MU";"2405009";"Jaçanã (RN)";"Total";"5282";"1148";"-";"-";"-";"49";"382";"-";"-"
"MU";"2405108";"Jandaíra (RN)";"Total";"4005";"1070";"13";"19";"-";"53";"445";"-";"-"
"MU";"2405207";"Janduís (RN)";"Total";"3535";"405";"-";"3";"-";"34";"184";"-";"-"
"MU";"2405306";"Januário Cicco (RN)";"Total";"5194";"1871";"-";"-";"-";"71";"680";"-";"-"
"MU";"2405405";"Japi (RN)";"Total";"3449";"858";"-";"-";"3";"12";"78";"-";"-"
"MU";"2405504";"Jardim de Angicos (RN)";"Total";"1651";"312";"23";"-";"-";"54";"50";"-";"-"
"MU";"2405603";"Jardim de Piranhas (RN)";"Total";"10796";"844";"23";"26";"-";"74";"439";"-";"-"
"MU";"2405702";"Jardim do Seridó (RN)";"Total";"9461";"729";"31";"-";"-";"60";"296";"-";"14"
"MU";"2405801";"João Câmara (RN)";"Total";"22471";"4378";"51";"19";"31";"352";"987";"-";"20"
"MU";"2405900";"João Dias (RN)";"Total";"1392";"374";"-";"-";"-";"5";"48";"-";"-"
"MU";"2406007";"José da Penha (RN)";"Total";"4038";"893";"3";"8";"-";"65";"139";"-";"-"
"MU";"2406106";"Jucurutu (RN)";"Total";"13073";"1656";"-";"9";"-";"283";"726";"-";"7"
"MU";"2406155";"Jundiá (RN)";"Total";"2257";"604";"4";"13";"-";"32";"282";"-";"6"
"MU";"2406205";"Lagoa d'Anta (RN)";"Total";"4288";"1073";"2";"-";"-";"32";"265";"-";"-"
"MU";"2406304";"Lagoa de Pedras (RN)";"Total";"5172";"843";"8";"17";"-";"85";"214";"2";"-"
"MU";"2406403";"Lagoa de Velhos (RN)";"Total";"1783";"271";"28";"-";"-";"26";"123";"-";"-"
"MU";"2406502";"Lagoa Nova (RN)";"Total";"11293";"1511";"43";"22";"-";"197";"304";"-";"26"
"MU";"2406601";"Lagoa Salgada (RN)";"Total";"5344";"1231";"2";"-";"-";"113";"415";"-";"-"
"MU";"2406700";"Lajes (RN)";"Total";"6607";"1661";"6";"10";"-";"68";"319";"-";"5"
"MU";"2406809";"Lajes Pintadas (RN)";"Total";"3495";"549";"24";"-";"-";"54";"74";"-";"-"
"MU";"2406908";"Lucrécia (RN)";"Total";"2520";"494";"8";"-";"-";"16";"60";"-";"3"
"MU";"2407005";"Luís Gomes (RN)";"Total";"6332";"1185";"6";"-";"-";"93";"220";"-";"-"
"MU";"2407104";"Macaíba (RN)";"Total";"43892";"18116";"432";"135";"46";"1813";"5340";"-";"172"
"MU";"2407203";"Macau (RN)";"Total";"14750";"6189";"92";"143";"-";"617";"2209";"9";"10"
"MU";"2407252";"Major Sales (RN)";"Total";"2970";"403";"-";"-";"-";"25";"34";"-";"-"
"MU";"2407302";"Marcelino Vieira (RN)";"Total";"5890";"772";"16";"-";"-";"52";"279";"-";"-"
"MU";"2407401";"Martins (RN)";"Total";"5338";"1396";"23";"-";"-";"149";"380";"-";"-"
"MU";"2407500";"Maxaranguape (RN)";"Total";"5708";"1967";"13";"3";"8";"253";"870";"-";"-"
"MU";"2407609";"Messias Targino (RN)";"Total";"3378";"245";"4";"-";"-";"54";"80";"-";"-"
"MU";"2407708";"Montanhas (RN)";"Total";"7579";"1428";"-";"-";"-";"87";"668";"-";"-"
"MU";"2407807";"Monte Alegre (RN)";"Total";"13300";"4482";"87";"23";"-";"428";"1352";"23";"-"
"MU";"2407906";"Monte das Gameleiras (RN)";"Total";"1695";"209";"-";"2";"-";"30";"33";"-";"-"
"MU";"2408003";"Mossoró (RN)";"Total";"138093";"59462";"1925";"738";"20";"8114";"22960";"24";"124"
"MU";"2408102";"Natal (RN)";"Total";"388162";"163015";"13752";"3552";"144";"26785";"65601";"282";"787"
"MU";"2408201";"Nísia Floresta (RN)";"Total";"17164";"6123";"65";"97";"-";"1053";"2165";"-";"13"
"MU";"2408300";"Nova Cruz (RN)";"Total";"23853";"4529";"43";"9";"-";"406";"738";"-";"107"
"MU";"2408409";"Olho d'Água do Borges (RN)";"Total";"2893";"362";"-";"-";"-";"26";"265";"-";"-"
"MU";"2408508";"Ouro Branco (RN)";"Total";"3822";"366";"17";"9";"-";"54";"63";"-";"-"
"MU";"2408607";"Paraná (RN)";"Total";"3066";"302";"2";"-";"-";"22";"59";"-";"-"
