"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"3520426";"Ilha Comprida (SP)";"Total";"5800";"3204";"436";"132";"9";"1353";"968";"-";"5"
"MU";"3520442";"Ilha Solteira (SP)";"Total";"11067";"7461";"976";"30";"18";"1001";"2404";"-";"28"
"MU";"3520509";"Indaiatuba (SP)";"Total";"123451";"52252";"8659";"3253";"34";"12526";"24721";"-";"161"
"MU";"3520608";"Indiana (SP)";"Total";"3042";"1202";"47";"-";"-";"62";"142";"-";"-"
"MU";"3520707";"Indiaporã (SP)";"Total";"2287";"961";"40";"-";"-";"74";"265";"-";"-"
"MU";"3520806";"Inúbia Paulista (SP)";"Total";"2105";"847";"31";"3";"-";"84";"163";"-";"4"
"MU";"3520905";"Ipaussu (SP)";"Total";"7576";"3465";"182";"29";"-";"245";"496";"-";"5"
"MU";"3521002";"Iperó (SP)";"Total";"12748";"13712";"283";"618";"-";"1142";"3007";"-";"8"
"MU";"3521101";"Ipeúna (SP)";"Total";"3167";"2114";"62";"-";"-";"317";"288";"-";"-"
"MU";"3521150";"Ipiguá (SP)";"Total";"3229";"1755";"180";"97";"-";"233";"406";"-";"-"
"MU";"3521200";"Iporanga (SP)";"Total";"1509";"1490";"15";"5";"-";"91";"372";"-";"8"
"MU";"3521309";"Ipuã (SP)";"Total";"8567";"2095";"452";"80";"-";"439";"1049";"-";"-"
"MU";"3521408";"Iracemápolis (SP)";"Total";"11920";"5465";"130";"25";"-";"612";"1146";"-";"47"
"MU";"3521507";"Irapuã (SP)";"Total";"4103";"1410";"9";"-";"-";"122";"409";"-";"-"
"MU";"3521606";"Irapuru (SP)";"Total";"3967";"1935";"46";"41";"-";"233";"239";"-";"21"
"MU";"3521705";"Itaberá (SP)";"Total";"10105";"4097";"347";"19";"-";"232";"920";"-";"5"
"MU";"3521804";"Itaí (SP)";"Total";"13598";"5671";"178";"69";"-";"806";"1448";"-";"28"
"MU";"3521903";"Itajobi (SP)";"Total";"10862";"3344";"136";"22";"-";"311";"374";"11";"5"
"MU";"3522000";"Itaju (SP)";"Total";"1761";"748";"27";"20";"-";"454";"125";"-";"-"
"MU";"3522109";"Itanhaém (SP)";"Total";"42021";"27198";"4106";"3339";"162";"5481";"16226";"125";"249"
"MU";"3522158";"Itaoca (SP)";"Total";"1451";"972";"352";"4";"-";"116";"64";"-";"-"
"MU";"3522208";"Itapecerica da Serra (SP)";"Total";"66440";"41521";"1499";"1233";"63";"7304";"18246";"111";"377"
"MU";"3522307";"Itapetininga (SP)";"Total";"73441";"48274";"1847";"1004";"-";"4272";"8559";"41";"488"
"MU";"3522406";"Itapeva (SP)";"Total";"34722";"31567";"1701";"693";"21";"2891";"6188";"8";"256"
"MU";"3522505";"Itapevi (SP)";"Total";"78113";"68531";"1650";"2438";"78";"15285";"31400";"247";"106"
"MU";"3522604";"Itapira (SP)";"Total";"40984";"14032";"1345";"290";"13";"2313";"5262";"-";"37"
"MU";"3522653";"Itapirapuã Paulista (SP)";"Total";"1789";"1588";"10";"-";"-";"11";"278";"-";"-"
"MU";"3522703";"Itápolis (SP)";"Total";"26423";"5878";"649";"185";"15";"341";"1518";"-";"-"
"MU";"3522802";"Itaporanga (SP)";"Total";"9473";"2171";"63";"8";"20";"366";"222";"-";"65"
"MU";"3522901";"Itapuí (SP)";"Total";"7958";"2957";"30";"109";"-";"311";"422";"-";"-"
"MU";"3523008";"Itapura (SP)";"Total";"1772";"1034";"43";"-";"-";"74";"582";"-";"-"
"MU";"3523107";"Itaquaquecetuba (SP)";"Total";"114220";"117913";"2688";"3878";"23";"23975";"50906";"159";"868"
"MU";"3523206";"Itararé (SP)";"Total";"18990";"15356";"748";"308";"-";"743";"2488";"-";"56"
"MU";"3523305";"Itariri (SP)";"Total";"4596";"5782";"177";"171";"24";"626";"1955";"-";"-"
"MU";"3523404";"Itatiba (SP)";"Total";"63007";"23766";"2848";"2609";"-";"5390";"9468";"1";"107"
"MU";"3523503";"Itatinga (SP)";"Total";"9367";"6099";"87";"11";"-";"483";"605";"-";"-"
"MU";"3523602";"Itirapina (SP)";"Total";"7194";"4486";"175";"131";"-";"395";"1588";"446";"40"
"MU";"3523701";"Itirapuã (SP)";"Total";"3546";"1129";"54";"10";"-";"157";"107";"-";"-"
"MU";"3523800";"Itobi (SP)";"Total";"5034";"1605";"83";"53";"-";"89";"235";"-";"-"
"MU";"3523909";"Itu (SP)";"Total";"85510";"39031";"2460";"1515";"12";"5310";"13270";"-";"252"
"MU";"3524006";"Itupeva (SP)";"Total";"31630";"16780";"1446";"523";"-";"6010";"4220";"36";"37"
"MU";"3524105";"Ituverava (SP)";"Total";"19613";"9774";"1214";"118";"-";"962";"1767";"-";"32"
"MU";"3524204";"Jaborandi (SP)";"Total";"3711";"1336";"57";"14";"-";"182";"259";"-";"-"
"MU";"3524303";"Jaboticabal (SP)";"Total";"35495";"16480";"3461";"1172";"-";"2213";"5481";"-";"34"
"MU";"3524402";"Jacareí (SP)";"Total";"113471";"63724";"5141";"3104";"13";"10162";"15513";"31";"183"
"MU";"3524501";"Jaci (SP)";"Total";"4425";"1374";"102";"21";"-";"209";"442";"-";"5"
"MU";"3524600";"Jacupiranga (SP)";"Total";"4030";"6588";"230";"33";"-";"573";"2384";"-";"46"
"MU";"3524709";"Jaguariúna (SP)";"Total";"29927";"14055";"967";"491";"-";"2266";"4171";"-";"100"
"MU";"3524808";"Jales (SP)";"Total";"24318";"14005";"1758";"38";"-";"1690";"1838";"11";"40"
