uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
PI;Coivaras;-5.0913083514;-42.2073159063;3555;83.826;12.799;0.084;0.0;0.0;0.338;2.954;0.0;0.0
PI;Colônia do Gurguéia;-8.1875742163;-43.7960171561;5329;71.195;22.256;0.113;0.0;0.0;2.89;3.453;0.0;0.094
PI;Colônia do Piauí;-7.223657564;-42.1771185064;6124;79.05;13.733;0.0;0.0;0.0;4.67;2.547;0.0;0.0
PI;Conceição do Canindé;-7.8827041539;-41.5966339439;4286;89.524;9.543;0.0;0.0;0.0;0.0;0.933;0.0;0.0
PI;Coronel José Dias;-8.8163694115;-42.4703571012;3728;88.01;9.013;0.0;0.08;0.0;0.563;2.012;0.0;0.322
PI;Corrente;-10.4409360381;-45.1633125236;23107;61.683;31.64;0.1;0.104;0.0;1.415;5.059;0.0;0.0
PI;Cristalândia do Piauí;-10.6478037518;-45.1860307001;6228;82.017;13.487;0.0;0.161;0.0;0.321;3.34;0.0;0.674
PI;Cristino Castro;-8.8201862885;-44.2244147473;8822;77.239;17.184;0.045;0.0;0.0;1.553;3.933;0.045;0.0
PI;Curimatá;-10.0312924303;-44.3007222329;9558;73.739;19.858;0.073;0.0;0.0;2.072;3.861;0.0;0.398
PI;Currais;-9.0124338389;-44.403002153;4126;87.009;11.246;0.0;0.097;0.0;1.139;0.509;0.0;0.0
PI;Curralinhos;-5.6204532294;-42.8322105193;3706;82.299;13.573;0.108;0.486;0.0;1.133;2.402;0.0;0.0
PI;Curral Novo do Piauí;-7.8307971884;-40.9010694707;4283;90.614;7.962;0.0;0.0;0.093;0.374;0.957;0.0;0.0
PI;Demerval Lobão;-5.3584654659;-42.6742286111;13861;79.54;15.886;0.079;0.332;0.0;1.428;2.684;0.051;0.0
PI;Dirceu Arcoverde;-9.3352000441;-42.439569962;6011;87.49;8.984;0.0;0.067;0.0;0.05;3.41;0.0;0.0
PI;Dom Expedito Lopes;-6.9579018427;-41.6523852113;5626;84.038;11.465;0.284;0.0;0.0;0.533;3.626;0.0;0.053
PI;Domingos Mourão;-4.2534336345;-41.2718814489;3502;89.406;10.08;0.0;0.0;0.0;0.0;0.343;0.0;0.171
PI;Dom Inocêncio;-9.0080749434;-41.9768511188;8085;88.67;10.315;0.0;0.0;0.0;0.198;0.816;0.0;0.0
PI;Elesbão Veloso;-6.2017194613;-42.1381444495;12074;86.036;7.512;0.248;0.124;0.0;1.027;4.887;0.0;0.166
PI;Eliseu Martins;-8.0964622896;-43.6648111317;3862;77.162;16.157;0.052;0.233;0.0;0.803;5.593;0.0;0.0
PI;Esperantina;-3.8956045306;-42.2353645251;35117;81.866;13.304;0.421;0.248;0.0;1.253;2.868;0.0;0.04
PI;Fartura do Piauí;-9.4786062863;-42.7944014032;4462;81.869;15.666;0.247;0.0;0.0;0.247;1.771;0.0;0.202
PI;Flores do Piauí;-7.7917756018;-42.924305802;3865;75.343;19.508;0.0;0.0;0.0;1.578;3.571;0.0;0.0
PI;Floresta do Piauí;-7.4667953749;-41.8003142914;2096;77.719;18.75;0.0;0.0;0.0;1.05;2.481;0.0;0.0
PI;Floriano;-6.7696724338;-43.0206447383;53858;75.04;16.738;0.349;0.574;0.0;1.433;5.782;0.0;0.084
PI;Francinópolis;-6.3952926226;-42.263366099;3918;83.333;6.559;0.0;0.74;0.0;0.613;8.754;0.0;0.0
PI;Francisco Ayres;-6.6233435319;-42.6911278448;3814;87.467;9.649;0.0;0.079;0.0;0.184;2.569;0.052;0.0
PI;Francisco Macedo;-7.3278710406;-40.7955673541;2566;84.567;11.886;0.0;0.0;0.0;0.156;3.39;0.0;0.0
PI;Francisco Santos;-6.9941711375;-41.1361573365;7264;90.391;7.159;0.083;0.0;0.0;0.289;2.01;0.0;0.069
PI;Fronteiras;-7.0884125329;-40.6172329307;9077;75.432;19.83;0.099;0.275;0.0;1.653;2.655;0.0;0.055
PI;Geminiano;-7.1584176259;-41.3575797605;4732;78.36;17.012;0.0;0.19;0.0;0.613;3.825;0.0;0.0
PI;Gilbués;-9.8345699055;-45.3469199782;9086;81.169;16.542;0.0;0.0;0.0;1.079;1.211;0.0;0.0
PI;Guadalupe;-6.7852469087;-43.5669236545;8828;81.627;15.949;0.0;0.0;0.0;1.201;1.167;0.0;0.057
PI;Guaribas;-9.3951113037;-43.6877210274;3627;61.98;29.501;0.0;0.0;0.0;1.379;7.141;0.0;0.0
PI;Hugo Napoleão;-5.9877878907;-42.5625630466;3060;78.235;12.549;0.0;0.523;0.0;1.732;6.961;0.0;0.0
PI;Ilha Grande;-2.8540086072;-41.819773184;7959;77.949;13.808;0.503;0.113;0.0;3.631;3.995;0.0;0.0
PI;Inhuma;-6.6671203407;-41.7101940565;13157;81.105;11.515;0.084;0.122;0.0;1.17;5.624;0.03;0.35
PI;Ipiranga do Piauí;-6.8269326783;-41.7399141279;8269;79.272;16.399;0.048;0.0;0.0;1.028;3.253;0.0;0.0
PI;Isaías Coelho;-7.7343106967;-41.6794480825;6596;82.762;10.415;0.0;0.045;0.0;0.0;2.562;0.0;4.215
PI;Itainópolis;-7.4512808131;-41.4800253105;9590;77.258;19.312;0.115;0.0;0.0;1.032;2.284;0.0;0.0
PI;Itaueira;-7.6081166325;-43.0254965078;9086;78.263;17.103;0.0;0.352;0.0;1.904;2.377;0.0;0.0
PI;Jacobina do Piauí;-7.9362644875;-41.2107620507;4902;80.049;15.871;0.0;0.0;0.0;0.061;4.019;0.0;0.0
PI;Jaicós;-7.3531523272;-41.1464748135;15165;76.637;18.206;0.251;0.04;0.0;0.725;4.115;0.026;0.0
PI;Jardim do Mulato;-6.0965775948;-42.6339595632;3634;75.206;17.556;0.0;0.0;0.0;0.138;7.1;0.0;0.0
PI;Jatobá do Piauí;-4.7731589443;-41.8198222186;4063;87.915;8.934;0.443;0.074;0.0;0.665;1.871;0.0;0.098
PI;Jerumenha;-7.0846321939;-43.5027430064;3919;80.837;15.412;0.0;0.153;0.0;0.842;2.45;0.0;0.306
PI;João Costa;-8.4891257219;-42.4178485806;2565;90.682;7.797;0.0;0.0;0.0;0.741;0.78;0.0;0.0
PI;Joaquim Pires;-3.5131035479;-42.1876898036;11871;82.226;14.818;0.0;0.329;0.0;0.337;2.089;0.0;0.202
PI;Joca Marques;-3.4880338256;-42.427737079;4629;90.689;8.576;0.0;0.41;0.0;0.324;0.0;0.0;0.0
PI;José de Freitas;-4.7630506395;-42.5783745315;36446;84.964;9.683;0.332;0.384;0.0;1.111;3.526;0.0;0.0
PI;Juazeiro do Piauí;-5.1613727543;-41.7026007597;4555;80.527;13.611;0.198;0.0;0.0;0.132;5.532;0.0;0.0
PI;Júlio Borges;-10.3267868137;-44.2437006324;4533;76.462;21.641;0.176;0.0;0.0;0.574;1.147;0.0;0.0
PI;Jurema;-9.2220247205;-43.133109743;3791;93.537;6.41;0.0;0.0;0.0;0.053;0.0;0.0;0.0
PI;Lagoinha do Piauí;-5.8365834406;-42.6273837299;2522;65.623;22.284;0.0;0.0;0.0;0.952;11.142;0.0;0.0
PI;Lagoa Alegre;-4.5087297492;-42.616742539;7130;88.822;10.028;0.112;0.168;0.0;0.154;0.715;0.0;0.0
PI;Lagoa do Barro do Piauí;-8.4824371152;-41.5302754057;4305;76.051;21.626;0.07;0.0;0.0;0.395;1.858;0.0;0.0
PI;Lagoa de São Francisco;-4.3927463867;-41.6054686902;5442;85.979;10.639;0.037;0.276;0.037;0.276;2.756;0.0;0.0
PI;Lagoa do Piauí;-5.4121441696;-42.6490132063;4086;84.165;12.433;0.073;0.196;0.0;1.566;1.566;0.0;0.0
PI;Lagoa do Sítio;-6.5153476298;-41.5823863013;3963;81.302;11.481;0.076;0.126;0.0;0.454;6.561;0.0;0.0
PI;Landri Sales;-7.2665999754;-43.9310455151;4571;86.042;11.42;0.044;0.219;0.0;1.925;0.35;0.0;0.0
PI;Luís Correia;-2.8815665358;-41.6645672323;26457;78.176;15.448;0.272;0.208;0.0;2.34;3.413;0.0;0.144
PI;Luzilândia;-3.4608176352;-42.3716375238;21880;80.672;10.841;0.0;0.087;0.0;5.53;2.354;0.0;0.516
PI;Madeiro;-3.4842120052;-42.5051412465;6787;81.317;16.782;0.059;0.295;0.0;0.398;1.149;0.0;0.0
PI;Manoel Emídio;-8.011358674;-43.8754746717;4575;87.628;11.454;0.0;0.0;0.0;0.306;0.459;0.0;0.153
PI;Marcolândia;-7.4435566614;-40.6628542914;7161;78.816;15.989;0.056;0.489;0.0;1.075;3.575;0.0;0.0
PI;Marcos Parente;-7.1192953775;-43.8883140086;4081;78.706;19.186;0.0;0.098;0.0;0.809;1.201;0.0;0.0
PI;Massapê do Piauí;-7.4654826845;-41.1238546846;4679;85.018;11.156;0.0;0.342;0.0;0.342;3.013;0.0;0.128
PI;Matias Olímpio;-3.7110272834;-42.5586289028;8929;82.238;14.134;0.0;0.0;0.0;0.47;2.755;0.0;0.403
PI;Miguel Alves;-4.1682155823;-42.8931666493;26764;87.521;8.762;0.06;0.224;0.0;1.341;2.092;0.0;0.0
PI;Miguel Leão;-5.6822417804;-42.7358295252;1151;69.07;30.148;0.0;0.0;0.0;0.174;0.608;0.0;0.0
PI;Milton Brandão;-4.6999534776;-41.4479595412;5712;91.894;5.235;0.0;0.0;0.0;0.998;1.873;0.0;0.0
PI;Monsenhor Gil;-5.5514856314;-42.6173989159;8882;78.563;16.179;0.495;0.191;0.0;1.16;3.411;0.0;0.0
PI;Monsenhor Hipólito;-7.0035024726;-41.0328934036;6703;87.782;9.145;0.134;0.06;0.0;0.955;1.925;0.0;0.0
PI;Monte Alegre do Piauí;-9.7558336681;-45.2957402209;8867;81.437;13.003;0.0;0.0;0.0;0.643;4.861;0.0;0.056
PI;Morro Cabeça no Tempo;-9.7193194922;-43.9018743654;3678;75.938;20.881;0.0;0.0;0.218;0.952;1.93;0.0;0.082
PI;Morro do Chapéu do Piauí;-3.7422550962;-42.309063395;5459;89.687;6.613;0.055;0.0;0.0;1.099;2.546;0.0;0.0
PI;Murici dos Portelas;-3.3238597851;-42.0967690818;8357;81.991;12.193;0.203;0.347;0.0;0.335;4.93;0.0;0.0
PI;Nazaré do Piauí;-6.9671284911;-42.6682272301;5811;86.921;9.602;0.052;0.447;0.069;1.652;1.187;0.0;0.069
PI;Nazária;-5.346925;-42.8140484696;8609;78.488;17.331;0.0;0.523;0.0;0.894;2.463;0.302;0.0
PI;Nossa Senhora de Nazaré;-4.6269320917;-42.1793030785;4605;83.561;12.486;0.0;0.152;0.0;0.717;2.432;0.586;0.065
PI;Nossa Senhora dos Remédios;-3.9912253518;-42.6239510485;7163;82.759;9.703;0.126;0.209;0.0;0.209;6.994;0.0;0.0
PI;Novo Oriente do Piauí;-6.4494051369;-41.9287223144;5408;84.467;10.614;0.0;0.203;0.0;0.425;4.234;0.055;0.0
PI;Novo Santo Antônio;-5.286057644;-41.9345074979;2489;89.313;8.558;0.0;0.0;0.0;0.884;1.245;0.0;0.0
PI;Oeiras;-7.016418006;-42.1314056604;33382;79.848;12.785;0.276;0.228;0.0;1.941;4.922;0.0;0.0
PI;Olho d'Água do Piauí;-5.8471585734;-42.578551609;2266;79.391;11.739;0.221;0.0;0.0;0.75;7.899;0.0;0.0
PI;Padre Marcos;-7.3547121155;-40.9058620824;5569;75.22;17.992;0.0;0.054;0.0;0.79;5.944;0.0;0.0
PI;Paes Landim;-7.7755629145;-42.2569576294;3529;78.719;19.722;0.0;0.0;0.0;0.878;0.68;0.0;0.0
PI;Pajeú do Piauí;-7.8525200922;-42.8169360898;2692;75.52;21.434;0.074;0.0;0.0;0.817;2.155;0.0;0.0
PI;Palmeira do Piauí;-8.7295011188;-44.2325685792;4244;86.239;10.745;0.283;0.0;0.0;0.165;2.568;0.0;0.0
PI;Palmeirais;-5.9797968361;-43.0618435229;11235;84.682;10.476;0.134;0.0;0.0;1.032;3.676;0.0;0.0
PI;Paquetá;-7.1014662443;-41.7013852456;3372;86.803;8.837;0.0;0.474;0.0;3.233;0.474;0.0;0.178
PI;Parnaguá;-10.2171809705;-44.6343146131;8493;80.655;17.485;0.082;0.0;0.0;0.695;1.083;0.0;0.0
PI;Parnaíba;-2.9033601445;-41.778170592;140333;66.413;20.9;0.884;1.162;0.015;3.534;7.02;0.0;0.071
PI;Passagem Franca do Piauí;-5.8562473203;-42.4405267463;3568;64.63;22.281;0.0;0.0;0.0;0.112;12.976;0.0;0.0
PI;Patos do Piauí;-7.6807639351;-41.2522813963;4883;90.805;8.663;0.0;0.0;0.0;0.369;0.123;0.0;0.041
PI;Pau d'Arco do Piauí;-5.2510934294;-42.3888654971;3392;89.092;9.08;0.0;0.177;0.0;1.209;0.442;0.0;0.0
PI;Paulistana;-8.1414361349;-41.1470964851;17918;82.599;14.304;0.0;0.0;0.0;1.122;1.925;0.0;0.05
PI;Pavussu;-7.9642869548;-43.2217523026;3175;85.26;12.913;0.0;0.0;0.0;0.22;1.606;0.0;0.0
PI;Pedro II;-4.4270552654;-41.4585599331;32966;83.401;12.025;0.191;0.822;0.03;0.716;2.709;0.0;0.106
PI;Pedro Laurentino;-8.0668825944;-42.28607367;2122;83.506;13.761;0.0;0.047;0.0;1.838;0.66;0.0;0.189
PI;Nova Santa Rita;-8.0749647181;-42.0482620011;3539;91.269;7.318;0.0;0.0;0.0;0.198;1.215;0.0;0.0
PI;Picos;-7.0813739122;-41.4688267147;72670;79.346;14.831;0.184;0.407;0.0;1.676;3.356;0.076;0.122
PI;Pimenteiras;-6.2416884097;-41.4151586072;9879;79.907;17.188;0.0;0.051;0.0;0.496;2.308;0.051;0.0
PI;Pio IX;-6.8326873012;-40.6182727863;15262;81.562;15.018;0.131;0.039;0.0;0.505;2.673;0.0;0.072
PI;Piracuruca;-3.9292874936;-41.7090415496;24950;78.994;13.852;0.168;0.176;0.0;4.517;2.293;0.0;0.0
PI;Piripiri;-4.2760686933;-41.7785048524;56822;81.551;12.757;0.231;0.542;0.0;1.311;3.571;0.0;0.037
PI;Porto;-3.891422995;-42.7109259993;9875;88.77;7.97;0.0;0.0;0.0;0.952;2.309;0.0;0.0
PI;Porto Alegre do Piauí;-6.9717246866;-44.1948371019;1986;82.075;10.272;0.0;0.0;0.0;0.0;7.654;0.0;0.0
PI;Prata do Piauí;-5.6647976938;-42.2042236753;2627;82.033;9.859;0.152;0.0;0.0;2.17;5.786;0.0;0.0
PI;Queimada Nova;-8.5854253469;-41.4170249222;7686;89.8;8.639;0.0;0.0;0.0;0.065;1.496;0.0;0.0
PI;Redenção do Gurguéia;-9.4934482414;-44.5812141606;7041;61.483;25.181;0.185;0.142;0.0;0.98;12.03;0.0;0.0
PI;Regeneração;-6.2401830211;-42.6850242313;14609;86.036;9.323;0.096;0.602;0.0;1.034;2.909;0.0;0.0
PI;Riacho Frio;-10.1287276881;-44.9525300483;3562;84.587;11.173;0.0;0.0;0.0;0.421;3.313;0.505;0.0
PI;Ribeira do Piauí;-7.6905755012;-42.7140434913;3519;81.5;17.533;0.0;0.085;0.0;0.369;0.512;0.0;0.0
PI;Ribeiro Gonçalves;-7.558034245;-45.2456386843;5214;71.768;20.407;0.058;0.0;0.0;1.669;6.099;0.0;0.0
PI;Rio Grande do Piauí;-7.7708571198;-43.140182786;5127;84.396;13.536;0.0;0.0;0.0;0.78;1.287;0.0;0.0
PI;Santa Cruz do Piauí;-7.1776264961;-41.7619256891;5179;86.117;9.288;0.232;0.83;0.0;1.12;2.414;0.0;0.0
PI;Santa Cruz dos Milagres;-5.8081209984;-41.9584459531;3013;90.043;8.828;0.0;0.0;0.0;0.365;0.763;0.0;0.0
PI;Santa Filomena;-9.1067957053;-45.9205564411;5085;88.397;10.049;0.0;0.0;0.0;0.393;1.16;0.0;0.0
PI;Santa Luz;-8.9446242169;-44.1295859063;4618;79.71;17.41;0.0;0.0;0.0;0.455;2.425;0.0;0.0
PI;Santana do Piauí;-6.9490717639;-41.518480558;3687;89.178;8.896;0.0;0.0;0.0;0.081;1.844;0.0;0.0
PI;Santa Rosa do Piauí;-6.8014550583;-42.2808138761;4104;86.769;10.453;0.0;0.0;0.0;0.877;1.901;0.0;0.0
PI;Santo Antônio de Lisboa;-6.981848477;-41.2337647421;5110;84.11;10.02;0.117;0.157;0.0;1.096;4.442;0.0;0.059
PI;Santo Antônio dos Milagres;-6.0467175963;-42.711196805;1815;73.719;18.292;0.0;0.0;0.0;0.992;6.997;0.0;0.0
PI;Santo Inácio do Piauí;-7.4223368374;-41.91821286;3223;88.551;8.253;0.0;0.0;0.0;1.706;1.489;0.0;0.0
PI;São Braz do Piauí;-9.0625605359;-42.9990725171;3781;81.275;15.737;0.0;0.0;0.0;0.688;2.301;0.0;0.0
PI;São Félix do Piauí;-5.932867663;-42.1135025902;2544;88.719;5.228;0.0;0.0;0.0;4.167;1.887;0.0;0.0
PI;São Francisco de Assis do Piauí;-8.2377547497;-41.6895971517;4807;89.64;6.74;0.0;0.062;0.0;1.227;2.143;0.0;0.187
PI;São Francisco do Piauí;-7.2439761039;-42.538531987;4751;88.36;10.503;0.0;0.0;0.0;0.274;0.863;0.0;0.0
PI;São Gonçalo do Gurguéia;-10.0299401062;-45.3014055106;2510;76.335;20.916;0.0;0.0;0.0;0.438;2.311;0.0;0.0
PI;São Gonçalo do Piauí;-5.9896674395;-42.6988309841;4101;69.154;10.461;0.0;0.073;0.0;0.975;19.337;0.0;0.0
PI;São João da Canabrava;-6.8189309895;-41.3460536519;3765;88.685;10.332;0.106;0.0;0.0;0.478;0.398;0.0;0.0
PI;São João da Fronteira;-3.9385974341;-41.2562869593;4702;88.537;10.038;0.0;0.17;0.0;0.51;0.702;0.0;0.043
PI;São João da Serra;-5.5087975378;-41.8992637511;5383;83.021;12.892;0.056;0.111;0.0;1.059;2.824;0.0;0.037
PI;São João da Varjota;-6.9190178385;-41.8637422049;3812;89.559;7.765;0.0;0.052;0.0;0.184;2.387;0.0;0.052
PI;São João do Arraial;-3.8131688736;-42.4531261733;6888;81.141;10.569;0.0;0.276;0.0;0.682;7.143;0.0;0.189
PI;São João do Piauí;-8.348849688;-42.2564375329;18339;78.636;15.851;0.185;0.513;0.0;0.758;3.981;0.0;0.076
PI;São José do Divino;-3.8057163565;-41.8301087692;4281;88.11;9.087;0.0;0.093;0.0;0.257;2.149;0.0;0.304
PI;São José do Peixe;-7.4930087809;-42.5701794158;2941;84.223;9.453;0.136;0.0;0.0;4.284;1.904;0.0;0.0
PI;São José do Piauí;-6.8706262447;-41.4794072342;5776;75.139;20.845;0.0;0.0;0.0;0.364;3.653;0.0;0.0
PI;São Julião;-7.0853150046;-40.8369132448;5323;76.104;13.921;0.038;0.0;0.0;0.958;8.942;0.0;0.038
PI;São Lourenço do Piauí;-9.1720018771;-42.5443519904;3934;89.858;8.566;0.0;0.178;0.0;0.661;0.737;0.0;0.0
PI;São Luis do Piauí;-6.8281438298;-41.3228378192;2030;94.187;5.025;0.0;0.0;0.0;0.0;0.788;0.0;0.0
PI;São Miguel da Baixa Grande;-5.8622986343;-42.1853773738;2007;87.643;10.314;0.0;0.0;0.0;0.1;1.943;0.0;0.0
PI;São Miguel do Fidalgo;-7.5849691189;-42.3705290412;2472;85.72;13.107;0.121;0.0;0.0;0.0;1.052;0.0;0.0
PI;São Miguel do Tapuio;-5.5006636991;-41.3197984895;15286;82.147;10.657;0.065;0.0;0.0;1.472;5.534;0.0;0.124
PI;São Pedro do Piauí;-5.9139516466;-42.7236601721;11636;82.7;10.072;0.0;0.138;0.0;1.1;5.904;0.0;0.086
PI;São Raimundo Nonato;-9.0153604824;-42.6922851642;33271;75.742;15.93;0.463;0.261;0.0;1.653;5.879;0.0;0.072
PI;Sebastião Barros;-10.8166752206;-44.8332841775;2749;80.247;13.678;0.0;0.0;0.0;0.0;6.075;0.0;0.0
PI;Sebastião Leal;-7.5773856302;-44.0676917696;3814;78.186;19.953;0.0;0.262;0.0;0.918;0.682;0.0;0.0
PI;Sigefredo Pacheco;-4.9116891642;-41.7275592248;8338;79.863;14.176;0.12;0.312;0.0;1.475;4.054;0.0;0.0
PI;Simões;-7.5991371657;-40.8175090684;12233;87.902;9.76;0.041;0.188;0.0;0.433;1.594;0.0;0.082
PI;Simplício Mendes;-7.8579572939;-41.9109103617;11966;80.403;13.095;0.393;0.042;0.0;1.245;4.822;0.0;0.0
PI;Socorro do Piauí;-7.8649380571;-42.5046917237;3659;80.814;16.753;0.0;0.0;0.0;0.082;2.35;0.0;0.0
PI;Sussuapara;-7.0170105888;-41.3922677309;5482;88.052;10.598;0.0;0.328;0.0;0.602;0.365;0.0;0.055
PI;Tamboril do Piauí;-8.4004317801;-42.9096888302;2513;69.2;26.741;0.0;0.119;0.0;1.393;2.547;0.0;0.0
PI;Tanque do Piauí;-6.5963534674;-42.2839013405;2038;83.562;11.629;0.0;0.0;0.0;2.208;2.601;0.0;0.0
PI;Teresina;-5.0863419523;-42.8052704582;753737;70.182;19.441;0.885;0.826;0.007;2.815;5.753;0.012;0.079
PI;União;-4.5860181591;-42.862929716;39139;84.851;10.396;0.031;0.266;0.02;1.423;3.012;0.0;0.0
PI;Uruçuí;-7.2295033446;-44.5602559239;21097;75.944;19.093;0.038;0.024;0.0;1.583;3.318;0.0;0.0
PI;Valença do Piauí;-6.3981960227;-41.7405359913;19640;78.04;15.27;0.0;0.321;0.0;1.263;5.061;0.0;0.046
PI;Várzea Branca;-9.2365410893;-42.969444535;4312;80.404;12.199;0.0;0.0;0.0;0.209;7.096;0.0;0.093
PI;Várzea Grande;-6.5429475544;-42.2531016233;3893;88.21;4.136;0.128;0.154;0.0;1.105;6.268;0.0;0.0
PI;Vera Mendes;-7.6028492829;-41.47973675;2827;71.772;26.919;0.0;0.0;0.0;0.0;1.309;0.0;0.0
PI;Vila Nova do Piauí;-7.141046434;-40.9378013965;2618;78.762;18.602;0.153;0.229;0.0;0.229;2.024;0.0;0.0
PI;Wall Ferraz;-7.2357790064;-41.9089536203;3655;82.244;15.787;0.0;0.137;0.0;0.356;1.259;0.0;0.219
CE;Abaiara;-7.3569765959;-39.0475466362;8580;86.492;11.037;0.0;0.0;0.0;0.14;2.226;0.0;0.105
CE;Acarape;-4.2231384094;-38.705623771;11931;60.205;31.414;0.243;0.436;0.0;2.221;5.465;0.0;0.017
CE;Acaraú;-2.8853105401;-40.1182414712;55154;71.931;21.371;0.027;0.114;0.0;0.771;5.505;0.056;0.225
CE;Acopiara;-6.092761995;-39.4557052762;39566;83.45;11.674;0.048;0.134;0.0;1.223;3.47;0.0;0.0
CE;Aiuaba;-6.5632984401;-40.1231600776;12227;85.45;10.927;0.09;0.188;0.0;1.219;1.979;0.0;0.147
CE;Alcântaras;-3.5869837692;-40.5446381226;9802;89.614;6.846;0.041;0.061;0.0;1.214;2.224;0.0;0.0
CE;Altaneira;-6.9974983508;-39.7458206389;5816;83.975;12.139;0.241;0.052;0.069;1.444;2.08;0.0;0.0
CE;Alto Santo;-5.5220817397;-38.2727781487;12222;78.678;14.294;0.409;0.63;0.0;0.949;5.04;0.0;0.0
CE;Amontada;-3.3648778035;-39.8288227917;35018;70.669;25.63;0.0;0.02;0.0;0.768;2.53;0.0;0.383
CE;Antonina do Norte;-6.7796878471;-39.9823868419;6358;87.748;8.682;0.157;0.047;0.0;1.18;2.092;0.0;0.094
CE;Apuiarés;-3.9480185186;-39.4304227833;11217;85.745;12.401;0.027;0.0;0.0;0.535;1.248;0.0;0.045
CE;Aquiraz;-3.9061945;-38.3898029589;70122;62.378;26.698;0.602;1.0;0.173;2.266;6.695;0.0;0.188
CE;Aracati;-4.56706647;-37.7727525989;65327;66.538;23.842;0.418;0.335;0.0;1.655;7.201;0.012;0.0
CE;Aracoiaba;-4.370393807;-38.8094409692;22093;80.225;17.58;0.063;0.0;0.0;0.715;1.317;0.0;0.1
CE;Ararendá;-4.751938272;-40.831096735;9622;84.369;11.027;0.062;0.883;0.0;1.684;1.455;0.0;0.52
CE;Araripe;-7.2061837892;-40.1374458094;16790;85.086;11.233;0.06;0.054;0.0;0.232;3.157;0.0;0.179
CE;Aratuba;-4.416930645;-39.0475545618;9648;76.7;21.238;0.166;0.166;0.0;1.13;0.518;0.0;0.083
CE;Arneiroz;-6.319425803;-40.1614437124;6447;83.248;10.78;0.14;0.0;0.0;1.287;4.498;0.0;0.047
CE;Assaré;-6.8726071122;-39.8712747475;18819;81.79;14.937;0.058;0.175;0.0;1.376;1.387;0.0;0.276
CE;Aurora;-6.940391832;-38.9769908769;20658;87.027;10.65;0.0;0.034;0.0;0.891;1.399;0.0;0.0
CE;Baixio;-6.7271620493;-38.720125916;5060;85.731;12.134;0.0;0.0;0.0;1.937;0.198;0.0;0.0
CE;Banabuiú;-5.315047304;-38.9257848049;14700;79.041;15.796;0.252;0.068;0.0;2.143;2.592;0.0;0.109
CE;Barbalha;-7.3071721269;-39.3023163692;63582;86.808;9.26;0.267;0.25;0.0;1.57;1.826;0.0;0.019
CE;Barreira;-4.2887622668;-38.6385018296;19159;58.557;35.967;0.104;0.0;0.0;0.851;4.52;0.0;0.0
CE;Barro;-7.1682087267;-38.7798806461;17099;86.186;10.398;0.731;0.129;0.0;0.971;1.439;0.0;0.146
CE;Barroquinha;-3.0091167462;-41.1394815382;12517;76.544;16.09;0.0;0.04;0.064;0.487;6.775;0.0;0.0
CE;Baturité;-4.3312051564;-38.8800213756;29920;77.965;15.244;0.254;0.334;0.0;1.628;4.469;0.107;0.0
CE;Beberibe;-4.1747632212;-38.1232730421;46162;67.415;24.314;0.407;0.169;0.0;1.616;5.881;0.0;0.197
CE;Bela Cruz;-3.0551067243;-40.166842907;28360;88.579;9.288;0.0;0.074;0.0;0.19;1.869;0.0;0.0
CE;Boa Viagem;-5.1257438701;-39.7332823425;43632;82.439;15.253;0.11;0.028;0.0;0.603;1.568;0.0;0.0
CE;Brejo Santo;-7.4916380087;-38.9855138674;44413;88.4;8.993;0.142;0.164;0.0;0.61;1.691;0.0;0.0
CE;Camocim;-2.9009665746;-40.8475277409;53427;70.27;18.313;0.167;0.331;0.0;4.335;6.519;0.0;0.066
CE;Campos Sales;-7.0733835;-40.3790031302;21877;85.062;11.61;0.105;0.133;0.0;0.8;2.258;0.032;0.0
CE;Canindé;-4.3553442897;-39.3103429529;63506;83.876;12.64;0.468;0.242;0.0;0.819;1.938;0.0;0.017
CE;Capistrano;-4.4598966121;-38.9018287595;14754;79.151;17.751;0.115;0.0;0.0;0.759;2.223;0.0;0.0
CE;Caridade;-4.2249600008;-39.193032915;13849;85.652;11.192;0.202;0.0;0.0;0.744;2.21;0.0;0.0
CE;Cariré;-3.95161188;-40.4738448077;15251;82.945;13.875;0.0;0.0;0.0;0.433;2.747;0.0;0.0
CE;Caririaçu;-7.041528;-39.2843720296;22451;90.277;6.218;0.089;0.223;0.0;0.517;2.677;0.0;0.0
CE;Cariús;-6.5311279379;-39.4976886801;14934;75.097;15.682;0.1;0.0;0.0;5.163;3.957;0.0;0.0
CE;Carnaubal;-4.1639885624;-40.9356315773;14643;85.201;8.618;0.068;0.198;1.045;1.024;3.695;0.082;0.068
CE;Cascavel;-4.1314336782;-38.2396859407;62964;69.429;23.309;0.186;0.351;0.0;2.095;4.619;0.0;0.013
CE;Catarina;-6.1275562908;-39.8794662283;8918;82.025;14.521;0.146;0.0;0.0;1.166;2.063;0.0;0.078
CE;Catunda;-4.6515493857;-40.2058037894;9087;85.881;9.409;0.033;0.209;0.0;1.155;3.312;0.0;0.0
CE;Caucaia;-3.736487;-38.6640175358;303758;54.453;32.586;0.389;0.63;0.048;3.487;8.317;0.05;0.04
