uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
PR;Foz do Jordão;-25.7334396203;-52.1256275318;4196;67.564;28.313;0.0;0.143;0.0;1.907;2.026;0.048;0.0
PR;General Carneiro;-26.4258025266;-51.3168589232;9309;78.139;18.713;0.0;0.215;0.0;0.526;2.353;0.0;0.054
PR;Godoy Moreira;-24.1928594486;-51.9243682163;2673;80.434;17.209;0.224;0.0;0.0;0.112;2.02;0.0;0.0
PR;Goioerê;-24.1891883939;-53.0273189133;24912;71.235;24.221;0.309;0.389;0.0;0.915;2.73;0.0;0.201
PR;Goioxim;-25.2015403111;-52.0055879662;5619;85.62;12.333;0.053;0.053;0.0;0.641;1.299;0.0;0.0
PR;Grandes Rios;-24.1461940122;-51.5087423991;4910;76.212;22.281;0.0;0.041;0.0;0.244;1.222;0.0;0.0
PR;Guaíra;-24.08527548;-54.2467577204;27561;50.038;37.354;0.446;0.229;2.144;3.498;6.194;0.0;0.098
PR;Guairaçá;-22.9382439477;-52.6910396164;5680;70.511;24.736;0.141;0.088;0.0;1.549;2.975;0.0;0.0
PR;Guamiranga;-25.1899094536;-50.8098759007;6812;76.674;21.741;0.0;0.161;0.0;1.042;0.382;0.0;0.0
PR;Guapirama;-23.5166402424;-50.042613744;3982;70.392;20.417;0.0;0.0;0.0;1.607;7.484;0.1;0.0
PR;Guaporema;-23.3429843451;-52.7782437829;1947;71.803;18.541;0.0;0.0;0.0;0.257;9.399;0.0;0.0
PR;Guaraci;-22.9744292673;-51.6503853709;4154;68.223;27.949;0.072;0.0;0.0;1.3;2.455;0.0;0.0
PR;Guaraniaçu;-25.0986499166;-52.8696324396;11926;80.622;15.11;0.428;0.067;0.0;1.249;2.524;0.0;0.0
PR;Guarapuava;-25.39359198;-51.4634310777;156115;72.591;20.792;0.566;0.411;0.0;2.234;3.387;0.0;0.019
