Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,Alenquer,Voto em branco,639
2026 - 2.ª volta,Azambuja,Voto em branco,294
2026 - 2.ª volta,Cadaval,Voto em branco,223
2026 - 2.ª volta,Cascais,Voto em branco,4564
2026 - 2.ª volta,Lisboa,Voto em branco,11275
2026 - 2.ª volta,Loures,Voto em branco,2883
2026 - 2.ª volta,Lourinhã,Voto em branco,403
2026 - 2.ª volta,Mafra,Voto em branco,1811
2026 - 2.ª volta,Oeiras,Voto em branco,4064
2026 - 2.ª volta,Sintra,Voto em branco,5158
2026 - 2.ª volta,Sobral de Monte Agraço,Voto em branco,212
2026 - 2.ª volta,Torres Vedras,Voto em branco,1422
2026 - 2.ª volta,Vila Franca de Xira,Voto em branco,2090
2026 - 2.ª volta,Amadora,Voto em branco,2063
2026 - 2.ª volta,Odivelas,Voto em branco,1983
2026 - 2.ª volta,Alter do Chão,Voto em branco,53
2026 - 2.ª volta,Arronches,Voto em branco,49
2026 - 2.ª volta,Avis,Voto em branco,51
2026 - 2.ª volta,Campo Maior,Voto em branco,91
2026 - 2.ª volta,Castelo de Vide,Voto em branco,65
2026 - 2.ª volta,Crato,Voto em branco,47
2026 - 2.ª volta,Elvas,Voto em branco,226
2026 - 2.ª volta,Fronteira,Voto em branco,45
2026 - 2.ª volta,Gavião,Voto em branco,28
2026 - 2.ª volta,Marvão,Voto em branco,51
2026 - 2.ª volta,Monforte,Voto em branco,36
2026 - 2.ª volta,Nisa,Voto em branco,93
2026 - 2.ª volta,Ponte de Sor,Voto em branco,168
2026 - 2.ª volta,Portalegre,Voto em branco,380
2026 - 2.ª volta,Sousel,Voto em branco,55
2026 - 2.ª volta,Amarante,Voto em branco,872
2026 - 2.ª volta,Baião,Voto em branco,151
2026 - 2.ª volta,Felgueiras,Voto em branco,922
2026 - 2.ª volta,Gondomar,Voto em branco,2631
2026 - 2.ª volta,Lousada,Voto em branco,722
2026 - 2.ª volta,Maia,Voto em branco,2920
2026 - 2.ª volta,Marco de Canaveses,Voto em branco,761
2026 - 2.ª volta,Matosinhos,Voto em branco,3083
2026 - 2.ª volta,Paços de Ferreira,Voto em branco,1121
2026 - 2.ª volta,Paredes,Voto em branco,1282
2026 - 2.ª volta,Penafiel,Voto em branco,970
2026 - 2.ª volta,Porto,Voto em branco,5041
2026 - 2.ª volta,Póvoa de Varzim,Voto em branco,1583
2026 - 2.ª volta,Santo Tirso,Voto em branco,1430
2026 - 2.ª volta,Valongo,Voto em branco,1593
2026 - 2.ª volta,Vila do Conde,Voto em branco,1742
2026 - 2.ª volta,Vila Nova de Gaia,Voto em branco,5271
2026 - 2.ª volta,Trofa,Voto em branco,688
2026 - 2.ª volta,Abrantes,Voto em branco,570
2026 - 2.ª volta,Alcanena,Voto em branco,293
2026 - 2.ª volta,Almeirim,Voto em branco,284
2026 - 2.ª volta,Alpiarça,Voto em branco,93
2026 - 2.ª volta,Benavente,Voto em branco,522
2026 - 2.ª volta,Cartaxo,Voto em branco,383
2026 - 2.ª volta,Chamusca,Voto em branco,94
2026 - 2.ª volta,Constância,Voto em branco,58
2026 - 2.ª volta,Coruche,Voto em branco,250
2026 - 2.ª volta,Entroncamento,Voto em branco,365
2026 - 2.ª volta,Ferreira do Zêzere,Voto em branco,113
2026 - 2.ª volta,Mação,Voto em branco,110
2026 - 2.ª volta,Rio Maior,Voto em branco,115
2026 - 2.ª volta,Salvaterra de Magos,Voto em branco,229
2026 - 2.ª volta,Santarém,Voto em branco,457
2026 - 2.ª volta,Sardoal,Voto em branco,62
2026 - 2.ª volta,Tomar,Voto em branco,552
2026 - 2.ª volta,Torres Novas,Voto em branco,640
2026 - 2.ª volta,Vila Nova da Barquinha,Voto em branco,132
2026 - 2.ª volta,Ourém,Voto em branco,997
2026 - 2.ª volta,Alcochete,Voto em branco,377
2026 - 2.ª volta,Almada,Voto em branco,2228
2026 - 2.ª volta,Barreiro,Voto em branco,873
2026 - 2.ª volta,Grândola,Voto em branco,178
2026 - 2.ª volta,Moita,Voto em branco,664
2026 - 2.ª volta,Montijo,Voto em branco,803
2026 - 2.ª volta,Palmela,Voto em branco,974
2026 - 2.ª volta,Santiago do Cacém,Voto em branco,412
2026 - 2.ª volta,Seixal,Voto em branco,2118
2026 - 2.ª volta,Sesimbra,Voto em branco,731
2026 - 2.ª volta,Setúbal,Voto em branco,1744
2026 - 2.ª volta,Sines,Voto em branco,165
2026 - 2.ª volta,Arcos de Valdevez,Voto em branco,404
2026 - 2.ª volta,Caminha,Voto em branco,312
2026 - 2.ª volta,Melgaço,Voto em branco,120
2026 - 2.ª volta,Monção,Voto em branco,349
2026 - 2.ª volta,Paredes de Coura,Voto em branco,140
2026 - 2.ª volta,Ponte da Barca,Voto em branco,201
2026 - 2.ª volta,Ponte de Lima,Voto em branco,927
2026 - 2.ª volta,Valença,Voto em branco,189
2026 - 2.ª volta,Viana do Castelo,Voto em branco,1727
2026 - 2.ª volta,Vila Nova de Cerveira,Voto em branco,150
2026 - 2.ª volta,Alijó,Voto em branco,169
2026 - 2.ª volta,Boticas,Voto em branco,97
2026 - 2.ª volta,Chaves,Voto em branco,482
2026 - 2.ª volta,Mesão Frio,Voto em branco,30
2026 - 2.ª volta,Mondim de Basto,Voto em branco,106
2026 - 2.ª volta,Montalegre,Voto em branco,125
2026 - 2.ª volta,Murça,Voto em branco,79
2026 - 2.ª volta,Peso da Régua,Voto em branco,229
2026 - 2.ª volta,Ribeira de Pena,Voto em branco,79
2026 - 2.ª volta,Sabrosa,Voto em branco,84
2026 - 2.ª volta,Santa Marta de Penaguião,Voto em branco,87
2026 - 2.ª volta,Valpaços,Voto em branco,166
2026 - 2.ª volta,Vila Pouca de Aguiar,Voto em branco,208
2026 - 2.ª volta,Vila Real,Voto em branco,890
2026 - 2.ª volta,Armamar,Voto em branco,69
2026 - 2.ª volta,Carregal do Sal,Voto em branco,128
2026 - 2.ª volta,Castro Daire,Voto em branco,212
2026 - 2.ª volta,Cinfães,Voto em branco,164
2026 - 2.ª volta,Lamego,Voto em branco,259
2026 - 2.ª volta,Mangualde,Voto em branco,245
2026 - 2.ª volta,Moimenta da Beira,Voto em branco,147
2026 - 2.ª volta,Mortágua,Voto em branco,185
2026 - 2.ª volta,Nelas,Voto em branco,168
2026 - 2.ª volta,Oliveira de Frades,Voto em branco,185
2026 - 2.ª volta,Penalva do Castelo,Voto em branco,106
2026 - 2.ª volta,Penedono,Voto em branco,41
2026 - 2.ª volta,Resende,Voto em branco,110
2026 - 2.ª volta,Santa Comba Dão,Voto em branco,218
2026 - 2.ª volta,São João da Pesqueira,Voto em branco,74
2026 - 2.ª volta,São Pedro do Sul,Voto em branco,277
2026 - 2.ª volta,Sátão,Voto em branco,148
2026 - 2.ª volta,Sernancelhe,Voto em branco,80
2026 - 2.ª volta,Tabuaço,Voto em branco,65
2026 - 2.ª volta,Tarouca,Voto em branco,96
2026 - 2.ª volta,Tondela,Voto em branco,488
2026 - 2.ª volta,Vila Nova de Paiva,Voto em branco,102
2026 - 2.ª volta,Viseu,Voto em branco,1789
2026 - 2.ª volta,Vouzela,Voto em branco,203
2026 - 2.ª volta,Águeda,Voto nulo,316
2026 - 2.ª volta,Albergaria-a-Velha,Voto nulo,243
2026 - 2.ª volta,Anadia,Voto nulo,196
2026 - 2.ª volta,Arouca,Voto nulo,198
2026 - 2.ª volta,Aveiro,Voto nulo,634
2026 - 2.ª volta,Castelo de Paiva,Voto nulo,185
2026 - 2.ª volta,Espinho,Voto nulo,334
2026 - 2.ª volta,Estarreja,Voto nulo,210
2026 - 2.ª volta,Santa Maria da Feira,Voto nulo,1278
